page,x,y,text
2,53.04,528.24,Rute 1
2,174.38,528.24,hvert 50. minutt per stoppested
2,673.30,528.24,kun lør
2,709.18,528.24,kun lør
2,749.16,528.24,kun lør
2,385.85,511.44,11:10
2,428.45,511.44,12:00
2,468.43,511.44,12:50
2,511.51,511.44,13:40
2,555.55,511.44,14:30
2,600.22,511.44,15:20
2,640.18,511.44,16:10
2,676.06,511.44,17:00
2,716.02,511.44,17:50
2,755.52,511.44,18:40
2,53.04,510.96,Ydalir
2,181.22,510.96,07:00
2,218.66,510.96,07:50
2,259.70,510.96,08:40
2,301.25,510.96,09:30
2,342.29,510.96,10:20
2,342.29,494.62,10:30
2,385.85,494.62,11:20
2,428.45,494.62,12:10
2,468.43,494.62,13:00
2,600.22,494.62,15:30
2,640.18,494.62,16:20
2,676.06,494.62,17:10
2,716.02,494.62,18:00
2,53.04,494.14,EUS
2,181.22,494.14,07:10
2,218.66,494.14,08:00
2,259.70,494.14,08:50
2,301.25,494.14,09:40
2,511.51,494.14,13:50
2,555.55,494.14,14:40
2,755.52,494.14,18:50
2,342.29,477.82,10:40
2,385.85,477.82,11:30
2,428.45,477.82,12:20
2,468.43,477.82,13:10
2,600.22,477.82,15:40
2,640.18,477.82,16:30
2,676.06,477.82,17:20
2,716.02,477.82,18:10
2,53.04,477.34,Terningen Arena
2,181.22,477.34,07:20
2,218.66,477.34,08:10
2,259.70,477.34,09:00
2,301.25,477.34,09:50
2,511.51,477.34,14:00
2,555.55,477.34,14:50
2,755.52,477.34,19:00
2,342.29,461.02,10:50
2,385.85,461.02,11:40
2,428.45,461.02,12:30
2,468.43,461.02,13:20
2,600.22,461.02,15:50
2,640.18,461.02,16:40
2,676.06,461.02,17:30
2,716.02,461.02,18:20
2,53.04,460.54,ELVIS
2,181.22,460.54,07:30
2,218.66,460.54,08:20
2,259.70,460.54,09:10
2,301.25,460.54,10:00
2,511.51,460.54,14:10
2,555.55,460.54,15:00
2,755.52,460.54,19:10
2,342.29,444.22,10:55
2,385.85,444.22,11:45
2,428.45,444.22,12:35
2,468.43,444.22,13:25
2,600.22,444.22,15:55
2,640.18,444.22,16:45
2,676.06,444.22,17:35
2,716.02,444.22,18:25
2,53.04,443.74,Frydenlund
2,181.22,443.74,07:35
2,218.66,443.74,08:25
2,259.70,443.74,09:15
2,301.25,443.74,10:05
2,511.51,443.74,14:15
2,555.55,443.74,15:05
2,755.52,443.74,19:15
2,468.43,427.42,13:25
2,511.51,427.42,14:15
