club,division,school,team,game_id,date,time,hall,opponent
Aurskog Finstadbru,J2008,ELVERUM UNGDOMSSKOLE,AFSK,327,2025-04-26,10:41,Søndre Elverum Idrettshall,Skjetten
Aurskog Finstadbru,J2008,ELVERUM UNGDOMSSKOLE,AFSK,108,2025-04-26,15:05,Elvishallen,Lervik
Aurskog Finstadbru,J2008,ELVERUM UNGDOMSSKOLE,AFSK,64,2025-04-27,08:23,Elverumshallen,Jardar/Asker
Aurskog Finstadbru,J2008,ELVERUM UNGDOMSSKOLE,AFSK,185,2025-04-27,14:03,Terningen Arena,Skjetten
Bjørkelangen,J2013,FRYDENLUND,Bjørkelangen/Høland,283,2025-04-26,12:26,Ydalir skole idrettshall,Elverum 3
Bjørkelangen,J2013,FRYDENLUND,Bjørkelangen/Høland,115,2025-04-27,08:23,Elvishallen,Røros
Bjørkelangen,J2013,FRYDENLUND,Bjørkelangen/Høland,125,2025-04-27,11:33,Elvishallen,Ottestad
Bjørkelangen,J2013,FRYDENLUND,Bjørkelangen/Høland,263,2025-04-27,14:39,Herneshallen,Tydal 2
Borgen IL,J2011,FRYDENLUND,Borgen,90,2025-04-25,20:48,Elvishallen,Hasle-Løren
Borgen IL,J2011,FRYDENLUND,Borgen,102,2025-04-26,12:01,Elvishallen,Utleira 2
