game_id,date,start_time,hall,tournament,home_team,home_club,home_school,home_rooms,away_team,away_club,away_school,away_rooms
1,2025-04-25,18:00,Elverumshallen,Elverum Yngres Cup - Jenter 12 år - 02,Elverum,,,,Lensbygda,Lensbygda,YDALIR,2.073
1,2025-04-25,18:00,Elverumshallen,Elverum Yngres Cup - Jenter 12 år - 02,Elverum,,,,Lensbygda,Lensbygda,YDALIR,2.062
1,2025-04-25,18:00,Elverumshallen,Elverum Yngres Cup - Jenter 12 år - 02,Elverum,,,,Lensbygda,Lensbygda,YDALIR,2.043
84,2025-04-25,18:00,Elvishallen,Elverum Yngres Cup - Jenter 12 år - 04,Elverum 3,,,,Rena IL,,,
140,2025-04-25,18:00,Terningen Arena,Elverum Yngres Cup - Jenter 14 år - 01,Varde,Varde IL,ELVERUM UNGDOMSSKOLE,"A011,grupperom i A",Elverum,,,
2,2025-04-25,18:19,Elverumshallen,Elverum Yngres Cup - Jenter 12 år - 02,Gjøvik HK 2,,,,Storhamar 2,Storhamar,ELVERUM UNGDOMSSKOLE,B301
85,2025-04-25,18:19,Elvishallen,Elverum Yngres Cup - Jenter 12 år - 04,Koppang,Koppang,YDALIR,1.080,Søndre Land,,,
85,2025-04-25,18:19,Elvishallen,Elverum Yngres Cup - Jenter 12 år - 04,Koppang,Koppang,YDALIR,1.084,Søndre Land,,,
3,2025-04-25,18:38,Elverumshallen,Elverum Yngres Cup - Jenter 12 år - 01,Koppang Håndballklubb 2,,,,Ring IL,Ring IL,ELVERUM UNGDOMSSKOLE,B306
3,2025-04-25,18:38,Elverumshallen,Elverum Yngres Cup - Jenter 12 år - 01,Koppang Håndballklubb 2,,,,Ring IL,Ring IL,ELVERUM UNGDOMSSKOLE,B303
3,2025-04-25,18:38,Elverumshallen,Elverum Yngres Cup - Jenter 12 år - 01,Koppang Håndballklubb 2,,,,Ring IL,Ring IL,ELVERUM UNGDOMSSKOLE,B305
3,2025-04-25,18:38,Elverumshallen,Elverum Yngres Cup - Jenter 12 år - 01,Koppang Håndballklubb 2,,,,Ring IL,Ring IL,ELVERUM UNGDOMSSKOLE,B304
86,2025-04-25,18:38,Elvishallen,Elverum Yngres Cup - Gutter 12 år - 02,Kolbu KK,Kolbu IL,YDALIR,2.039,Elverum 2,,,
141,2025-04-25,18:46,Terningen Arena,Elverum Yngres Cup - Jenter 14 år - 02,Utleira,Utleira,ELVIS,E163,Varde 2,Varde IL,ELVERUM UNGDOMSSKOLE,"A011,grupperom i A"
141,2025-04-25,18:46,Terningen Arena,Elverum Yngres Cup - Jenter 14 år - 02,Utleira,Utleira,ELVIS,E162,Varde 2,Varde IL,ELVERUM UNGDOMSSKOLE,"A011,grupperom i A"
4,2025-04-25,18:57,Elverumshallen,Elverum Yngres Cup - Jenter 12 år - 01,Gjøvik HK,Gjøvik HK,FRYDENLUND,B117,Varde 2,Varde IL,ELVERUM UNGDOMSSKOLE,"A011,grupperom i A"
4,2025-04-25,18:57,Elverumshallen,Elverum Yngres Cup - Jenter 12 år - 01,Gjøvik HK,Gjøvik HK,FRYDENLUND,B118,Varde 2,Varde IL,ELVERUM UNGDOMSSKOLE,"A011,grupperom i A"
4,2025-04-25,18:57,Elverumshallen,Elverum Yngres Cup - Jenter 12 år - 01,Gjøvik HK,Gjøvik HK,FRYDENLUND,"B120,B121",Varde 2,Varde IL,ELVERUM UNGDOMSSKOLE,"A011,grupperom i A"
87,2025-04-25,18:57,Elvishallen,Elverum Yngres Cup - Gutter 12 år - 01,Elverum,,,,Hasle-Løren Rød,Hasle/Løren,ELVERUM UNGDOMSSKOLE,B104
5,2025-04-25,19:16,Elverumshallen,Elverum Yngres Cup - Jenter 12 år - 03,Ottestad,Ottestad,YDALIR,2.060,Storhamar,Storhamar,ELVERUM UNGDOMSSKOLE,B301
142,2025-04-25,19:32,Terningen Arena,Elverum Yngres Cup - Jenter 13 år - 03,Hasle-Løren 2,,,,Utleira,Utleira,ELVIS,E163
142,2025-04-25,19:32,Terningen Arena,Elverum Yngres Cup - Jenter 13 år - 03,Hasle-Løren 2,,,,Utleira,Utleira,ELVIS,E162
6,2025-04-25,19:35,Elverumshallen,Elverum Yngres Cup - Jenter 12 år - 03,Elverum 2,,,,Trysil,Trysil,YDALIR,2.051
6,2025-04-25,19:35,Elverumshallen,Elverum Yngres Cup - Jenter 12 år - 03,Elverum 2,,,,Trysil,Trysil,YDALIR,2.049
